Federate,Localize,Target
"[0.6386562, 0.261622, 1.9201082, -2.9430642, -0.4351554, 0.7062072]","[-0.6910725, -0.7774825, 1.6556329, -0.8766461, 1.7264599, -0.87468874]",0
"[-0.25460204, -0.061924558, 1.4701554, -2.5111802, 3.4418276e-06, 1.3596987]","[-0.6910725, -0.7774825, 1.6556287, -0.8766461, 1.7264637, -0.87468874]",0
"[1.0691218, 0.87465256, 1.9141297, -2.443777, -1.3588398, 0.18984428]","[-0.6910725, -0.7774825, 1.6556294, -0.8766461, 1.7264631, -0.87468874]",0
"[0.01712813, 0.5129342, 1.8435668, -2.332168, 1.3596268, -0.3140536]","[-0.44343656, -0.5134893, -0.44813484, -0.5805913, 2.6105566, -0.5777387]",0
"[0.20098476, 0.49344283, 2.3344133, -2.8310828, -0.118035495, 0.38507482]","[-0.6910725, -0.7774825, 1.6556325, -0.8766461, 1.7264601, -0.87468874]",0
"[-0.8786613, -0.7995658, -0.62373793, 0.46178275, 1.4120603, 1.1481098]","[-1.3109273, -0.47225165, -0.40114757, 0.9257895, -0.3939779, 1.8801163]",0
"[0.6747087, 0.45632744, 2.1535583, -0.59856033, -2.7012577, 0.434937]","[-0.68901384, -0.7752878, 1.8671194, -0.87418485, 1.5090204, -0.87222004]",0
"[0.8970392, 0.95003194, 1.0585724, -3.1697772, 0.33070743, 0.15937024]","[-0.6910726, -0.77748257, 1.6556344, -0.87664616, 1.7264585, -0.8746888]",0
"[-0.88018143, -0.5927407, -1.0174847, 1.4493123, 1.287385, 0.7563773]","[-0.34680635, -1.5789595, -0.33075914, 1.0145198, -0.32487664, 1.7408967]",0
"[0.998467, 0.55556476, 2.106252, -1.7624196, -2.100512, 0.43207535]","[-0.6910726, -0.77748257, 1.655632, -0.87664616, 1.7264607, -0.8746888]",0
"[-0.7786094, -0.60594845, -0.92028946, 1.325755, 1.6847864, 0.48697764]","[-1.3109292, -0.4722505, -0.40114623, 0.92578816, -0.3939766, 1.8801162]",0
"[-0.88018143, -0.5927407, -1.0174847, 1.4493123, 1.287385, 0.7563773]","[-0.35108018, -1.5702469, -0.33595052, 1.0138344, -0.32997307, 1.7471588]",1
"[0.8948026, 0.5492615, 2.2215343, -2.1790419, -1.6680788, 0.4273064]","[-0.6910726, -0.77748257, 1.6556312, -0.87664616, 1.7264616, -0.8746888]",0
"[-1.4334189, 0.19168854, 0.73722523, -0.5494454, -0.5308211, 1.6649888]","[-0.6910725, -0.7774825, 1.6556236, -0.8766461, 1.7264686, -0.87468874]",0
"[0.46246484, 0.73867756, 2.3143904, -2.0943966, -1.8017838, 0.5706158]","[-1.5824512, -0.33651263, 1.3063496, -0.38212103, 1.6525106, -0.37866828]",0
